,number,value,datetime_start,datetime_complete,duration,params_act_fun,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
35,35,121.0,2025-05-12 11:11:18.414192,2025-05-12 11:11:27.513319,0 days 00:00:09.099127,relu,7,0.010330714464149512,5.578658410073714e-05,0.512768867129485,tiny,0.9896692855358505,128,PRUNED
36,36,456.5,2025-05-12 11:11:27.515234,2025-05-12 11:11:48.394031,0 days 00:00:20.878797,relu,5,0.01833523016208286,0.0015431708263527568,1.4228909671798522,tiny,0.9816647698379172,32,COMPLETE
37,37,89.8,2025-05-12 11:11:48.395523,2025-05-12 11:11:59.320314,0 days 00:00:10.924791,relu,4,0.005209656690270128,0.003851314284442969,0.7669686287040329,tiny,0.9947903433097298,16,PRUNED
38,38,121.3,2025-05-12 11:11:59.322342,2025-05-12 11:12:08.324207,0 days 00:00:09.001865,relu,10,0.001913282013116137,0.0005911504977389654,0.3733581770434292,tiny,0.9980867179868839,1024,PRUNED
39,39,9.0,2025-05-12 11:12:08.325595,2025-05-12 11:12:16.990561,0 days 00:00:08.664966,relu,8,0.0032606737506823986,0.13182124669942394,0.6459793003760625,tiny,0.9967393262493176,256,PRUNED
40,40,500.0,2025-05-12 11:12:16.992263,2025-05-12 11:12:36.700325,0 days 00:00:19.708062,relu,9,0.00042807226208979387,0.013648244278226508,1.084970573366052,tiny,0.9995719277379103,512,COMPLETE
41,41,192.7,2025-05-12 11:12:36.702528,2025-05-12 11:12:45.737813,0 days 00:00:09.035285,relu,9,0.00016528850620514056,0.015383122750893749,1.056698072795211,tiny,0.9998347114937949,512,PRUNED
42,42,151.1,2025-05-12 11:12:45.739664,2025-05-12 11:12:54.856002,0 days 00:00:09.116338,relu,10,0.0006328874010630053,0.024735818118069155,0.8946038757814984,tiny,0.999367112598937,1024,PRUNED
43,43,500.0,2025-05-12 11:12:54.857879,2025-05-12 11:13:15.532650,0 days 00:00:20.674771,relu,8,0.00037706700893642715,0.005477755787003727,0.7308304789143238,tiny,0.9996229329910635,256,COMPLETE
44,44,485.0,2025-05-12 11:13:15.534863,2025-05-12 11:13:35.008497,0 days 00:00:19.473634,tanh,9,0.0010404225884508883,0.0022842357382960175,1.1588218006744921,tiny,0.9989595774115491,512,COMPLETE
45,45,494.2,2025-05-12 11:13:35.010880,2025-05-12 11:13:58.106357,0 days 00:00:23.095477,relu,8,0.0006842117839962359,0.0011676085540429251,2.8760125625287287,small,0.9993157882160038,256,COMPLETE
46,46,35.6,2025-05-12 11:13:58.109198,2025-05-12 11:14:07.957979,0 days 00:00:09.848781,tanh,7,0.00021764516111782707,0.009954918657753645,4.485289545391291,small,0.9997823548388822,128,PRUNED
47,47,185.8,2025-05-12 11:14:07.959310,2025-05-12 11:14:16.824196,0 days 00:00:08.864886,relu,10,0.0003450155998115142,0.02229804272974702,0.6222856825454623,tiny,0.9996549844001885,1024,PRUNED
48,48,123.2,2025-05-12 11:14:16.826824,2025-05-12 11:14:26.373381,0 days 00:00:09.546557,tanh,9,0.0001528453208485612,0.00024476291445506206,1.7010794436752816,small,0.9998471546791514,512,PRUNED
49,49,9.4,2025-05-12 11:14:26.375140,2025-05-12 11:14:36.634396,0 days 00:00:10.259256,tanh,8,0.00136208415541385,0.012487163048576368,0.5329944240853934,small,0.9986379158445862,256,PRUNED
50,50,500.0,2025-05-12 11:14:36.636610,2025-05-12 11:14:57.432295,0 days 00:00:20.795685,relu,7,0.0004807039487577529,0.006058341664116479,1.2698947525927438,tiny,0.9995192960512422,128,COMPLETE
51,51,59.2,2025-05-12 11:14:57.434489,2025-05-12 11:15:07.553944,0 days 00:00:10.119455,relu,8,0.0003978689354440313,0.004745566388873478,0.7095869576148299,tiny,0.999602131064556,256,PRUNED
52,52,464.0,2025-05-12 11:15:07.556755,2025-05-12 11:15:30.144532,0 days 00:00:22.587777,relu,8,0.006581127817864176,0.0024383029601331534,0.7746572644787958,tiny,0.9934188721821359,256,COMPLETE
53,53,122.1,2025-05-12 11:15:30.146677,2025-05-12 11:15:41.000951,0 days 00:00:10.854274,relu,9,0.00178581622964873,0.0013220562071274155,0.8752406431818233,tiny,0.9982141837703513,512,PRUNED
54,54,214.1,2025-05-12 11:15:41.003745,2025-05-12 11:15:51.076758,0 days 00:00:10.073013,relu,8,0.0008094838210289871,0.006445085653200312,1.0244059775409233,tiny,0.999190516178971,256,PRUNED
55,55,54.1,2025-05-12 11:15:51.078956,2025-05-12 11:16:00.980195,0 days 00:00:09.901239,tanh,7,0.00036363195403420326,0.03277211105930741,0.697103704385546,tiny,0.9996363680459658,128,PRUNED
56,56,483.8,2025-05-12 11:16:00.982346,2025-05-12 11:16:24.952255,0 days 00:00:23.969909,relu,9,0.0002004290543828893,0.003044633934450725,0.4728713753349205,small,0.9997995709456171,512,COMPLETE
57,57,9.1,2025-05-12 11:16:24.955131,2025-05-12 11:16:35.200201,0 days 00:00:10.245070,relu,10,0.0033205928531457748,0.0664447248705819,0.3040206954682037,tiny,0.9966794071468542,1024,PRUNED
58,58,219.2,2025-05-12 11:16:35.202168,2025-05-12 11:16:58.400553,0 days 00:00:23.198385,tanh,6,0.0006602387612830787,0.000929133377248198,0.7940810756088721,small,0.9993397612387169,64,PRUNED
