date,account_value
2011-09-20,965795.3853211892
2011-09-21,927859.4293993638
2011-09-22,885632.7523813623
2011-09-23,889829.2301950887
2011-09-26,917128.7447981866
2011-09-27,927791.0181508105
2011-09-28,905937.3887015345
2011-09-29,917508.8480144856
2011-09-30,894131.4253246911
2011-10-03,862814.8944820293
2011-10-04,884060.7072891304
2011-10-05,899055.24483517
2011-10-06,920802.3708643677
2011-10-07,907989.3719244578
2011-10-10,941186.9566052716
2011-10-11,946997.144214062
2011-10-12,955623.3635639669
2011-10-13,951349.7791342785
2011-10-14,969321.3298617165
2011-10-17,949589.8900500395
2011-10-18,978427.8363357527
2011-10-19,968912.788189954
2011-10-20,974106.5317125543
2011-10-21,998953.5259957145
2011-10-24,1021263.1738914683
2011-10-25,1002499.5018878367
2011-10-26,1023137.7432768013
2011-10-27,1066140.154055178
2011-10-28,1069817.2726350615
2011-10-31,1039021.5651951182
2011-11-01,1006444.8193556817
2011-11-02,1025949.5575493433
2011-11-03,1044657.7476236251
2011-11-04,1038534.8908025363
2011-11-07,1041333.5240125544
2011-11-08,1053876.7759199277
2011-11-09,1008086.038923815
2011-11-10,1014890.5167957594
2011-11-11,1043400.5149321472
2011-11-14,1040734.0060690377
2011-11-15,1041044.5387544911
2011-11-16,1021376.5415793841
2011-11-17,1003884.7410074713
2011-11-18,1000966.6739533007
2011-11-21,979041.4773337625
2011-11-22,971134.2827151959
2011-11-23,949583.6415840847
2011-11-25,944085.006506923
2011-11-28,979854.7955748513
2011-11-29,977714.0617011902
2011-11-30,1036863.5621814568
2011-12-01,1030958.4935114511
2011-12-02,1032160.9788865083
2011-12-05,1041234.1098403294
2011-12-06,1042068.0677466547
2011-12-07,1043646.0559337361
2011-12-08,1023101.7597348101
2011-12-09,1046529.0395631678
2011-12-12,1025014.2174824212
2011-12-13,1012028.9497079728
2011-12-14,985638.9545324977
2011-12-15,987232.5169947264
2011-12-16,985834.7451484301
2011-12-19,977778.0160155738
2011-12-20,1014040.1676053965
2011-12-21,1017724.9448126939
2011-12-22,1023676.5511726029
2011-12-23,1029708.114470731
2011-12-27,1026522.0075684254
2011-12-28,1008713.7258474133
2011-12-29,1021012.2555314134
2011-12-30,1016193.5923885052
2012-01-03,1045482.9421165955
2012-01-04,1049892.776466183
2012-01-05,1050760.3979816134
2012-01-06,1050253.4513945505
2012-01-09,1058193.8041063386
2012-01-10,1074925.847830001
2012-01-11,1072619.3010894312
2012-01-12,1080804.1386511615
2012-01-13,1079939.9906271726
2012-01-17,1084348.466989383
2012-01-18,1099788.6243626636
2012-01-19,1110925.983370434
2012-01-20,1118073.9551711218
2012-01-23,1120821.039260363
2012-01-24,1118690.3762017463
2012-01-25,1132790.6437779486
2012-01-26,1139093.4049142897
2012-01-27,1135803.9321260569
2012-01-30,1130038.3889941885
2012-01-31,1126772.2017826026
2012-02-01,1136733.4402301428
2012-02-02,1136817.002171118
2012-02-03,1163712.0521046412
2012-02-06,1162855.547979666
2012-02-07,1163041.3673045542
2012-02-08,1165803.3948813784
2012-02-09,1159914.5174153463
2012-02-10,1149554.3155645125
2012-02-13,1160978.3169956247
2012-02-14,1163161.8070864908
2012-02-15,1152306.963191662
2012-02-16,1166876.4816907179
2012-02-17,1169360.9326334212
2012-02-21,1177719.9222141535
2012-02-22,1177130.6384410022
2012-02-23,1183010.4957629282
2012-02-24,1184590.7483858282
2012-02-27,1183352.9603268206
2012-02-28,1187188.4654861414
2012-02-29,1177092.2341056427
2012-03-01,1183406.6676985133
2012-03-02,1177407.4107890094
2012-03-05,1164289.9908289493
2012-03-06,1136625.5972606014
2012-03-07,1152813.5621625483
2012-03-08,1163598.4158787434
2012-03-09,1162777.7247691376
2012-03-12,1158686.9961481888
2012-03-13,1192376.4500519573
2012-03-14,1184326.5493230831
2012-03-15,1192599.179986008
2012-03-16,1192215.8829465716
2012-03-19,1194722.175428776
2012-03-20,1181569.0887907564
2012-03-21,1172049.600250107
2012-03-22,1154556.1664508937
2012-03-23,1163345.2790083392
2012-03-26,1177411.0436422236
2012-03-27,1170538.8848673194
2012-03-28,1152510.4796255839
2012-03-29,1159518.2222603152
2012-03-30,1164231.5390873912
2012-04-02,1171565.3912961504
2012-04-03,1161464.0530990774
2012-04-04,1150065.3155198444
2012-04-05,1146402.9232439846
2012-04-09,1130545.572875151
2012-04-10,1104167.5930078586
2012-04-11,1113755.729684193
2012-04-12,1144625.0058911135
2012-04-13,1130720.2592451137
2012-04-16,1138532.4629051937
2012-04-17,1153390.6893339923
2012-04-18,1152139.5755253604
2012-04-19,1140069.737448769
2012-04-20,1144910.6410672534
2012-04-23,1137350.7703130115
2012-04-24,1146133.7724336702
2012-04-25,1134391.6599193462
2012-04-26,1144984.0596635076
2012-04-27,1147841.9163313087
2012-04-30,1141422.3869267085
2012-05-01,1142881.6540583633
2012-05-02,1141837.4078203528
2012-05-03,1128382.6008578264
2012-05-04,1105953.9725555538
2012-05-07,1100146.713246137
2012-05-08,1091620.751360595
2012-05-09,1083675.3983894417
2012-05-10,1079320.068628587
2012-05-11,1074012.6557548097
2012-05-14,1058558.089078174
2012-05-15,1051568.5194812424
2012-05-16,1045309.6247608978
2012-05-17,1019809.0255622284
2012-05-18,1017495.9427931798
2012-05-21,1040722.8235450719
2012-05-22,1039134.0421142332
2012-05-23,1041686.1373563673
2012-05-24,1037618.8035484584
2012-05-25,1026711.9697526648
2012-05-29,1044249.0470089819
2012-05-30,1022829.8014431632
2012-05-31,1013095.7153878271
2012-06-01,987413.0244025061
2012-06-04,977211.7259725182
2012-06-05,980994.7427464364
2012-06-06,1010272.1308642724
2012-06-07,1012368.4595219033
2012-06-08,1018093.330104213
2012-06-11,999555.4307213452
2012-06-12,1016462.5702283585
2012-06-13,1005220.7114798615
2012-06-14,1015005.8589964745
2012-06-15,1029698.3551427386
2012-06-18,1024924.9189175379
2012-06-19,1040946.3748126205
2012-06-20,1034057.1069988806
2012-06-21,1007976.2052959998
2012-06-22,1012182.1811756328
2012-06-25,993886.0464811175
2012-06-26,997020.044354626
2012-06-27,1002278.4930064509
2012-06-28,1003051.134279423
2012-06-29,1025989.5598191874
2012-07-02,1022044.1464498923
2012-07-03,1040611.4657507289
2012-07-05,1036619.7606721937
2012-07-06,1021131.16954904
2012-07-09,1011835.4032114565
2012-07-10,995962.6884360106
2012-07-11,991828.2537603915
2012-07-12,988500.1764501956
2012-07-13,1011119.6205506861
2012-07-16,1005820.7272460845
2012-07-17,1012265.3213772605
2012-07-18,1022342.9961014397
2012-07-19,1026471.6994760364
2012-07-20,1012925.0471935961
2012-07-23,1006812.3350711224
2012-07-24,1000930.1196865904
2012-07-25,1009497.8111015141
2012-07-26,1023486.7070548509
2012-07-27,1046542.2321296236
2012-07-30,1043705.7312184556
2012-07-31,1034345.4122345145
2012-08-01,1026982.6234139072
2012-08-02,1021105.9727277214
2012-08-03,1041697.0034522241
2012-08-06,1050264.5286290506
2012-08-07,1058999.8000804512
2012-08-08,1058023.2136932022
2012-08-09,1065020.6841335595
2012-08-10,1068393.215398765
2012-08-13,1066973.5654613432
2012-08-14,1062418.7016041118
2012-08-15,1061077.6899689229
2012-08-16,1072004.4125688374
2012-08-17,1077934.4751094868
2012-08-20,1080612.2397206929
2012-08-21,1078657.1317912114
2012-08-22,1068947.7536986058
2012-08-23,1056152.1109655374
2012-08-24,1060856.24180038
2012-08-27,1057103.725255046
2012-08-28,1054819.5000193645
2012-08-29,1053866.8995235132
2012-08-30,1040961.8047243569
2012-08-31,1051476.2810752403
2012-09-04,1036150.2858418591
2012-09-05,1040538.5348391793
2012-09-06,1065190.8080684503
2012-09-07,1082047.9938769734
2012-09-10,1072413.8971349709
2012-09-11,1082364.8049364102
2012-09-12,1086432.621261822
2012-09-13,1103456.3212111858
2012-09-14,1116101.521996795
2012-09-17,1108048.758453357
2012-09-18,1113892.6913435203
2012-09-19,1115259.4893825084
2012-09-20,1110875.855378546
2012-09-21,1104482.926409758
2012-09-24,1099091.4706219123
2012-09-25,1074338.2248684028
2012-09-26,1072818.4684990665
2012-09-27,1078139.819965543
2012-09-28,1068869.5453775572
2012-10-01,1071340.6263867428
2012-10-02,1071929.7114786084
2012-10-03,1069712.7266472867
2012-10-04,1077723.3957344468
2012-10-05,1076242.3602640785
2012-10-08,1075876.9362959121
2012-10-09,1070080.910978617
2012-10-10,1052872.4411861175
2012-10-11,1054714.3244186155
2012-10-12,1054111.1986413787
2012-10-15,1061389.117281624
2012-10-16,1075091.7853435548
2012-10-17,1083660.7911405242
2012-10-18,1084725.006861792
2012-10-19,1061682.2468632339
2012-10-22,1062852.844325822
2012-10-23,1044451.8478030646
2012-10-24,1040534.435536587
2012-10-25,1044583.7266184886
2012-10-26,1048340.3355260794
2012-10-31,1052243.4443027042
2012-11-01,1074865.2686845162
2012-11-02,1057887.491708648
2012-11-05,1064647.316001876
2012-11-06,1079040.9481823074
2012-11-07,1045986.5816919319
