date,ensemble,dji
2022-03-24,970432.8285811084,948691.6992987766
2022-03-25,977703.7550835956,952881.849072821
2022-03-28,978340.7345190851,955469.0348636392
2022-03-29,981141.8074465488,964716.0005445358
2022-03-30,984543.3819389996,962928.855326975
2022-03-31,968735.164465298,947882.9034436552
2022-04-01,973141.9064000096,951707.3600422817
2022-04-04,972965.739079758,954539.3734101022
2022-04-05,972363.5445152476,946866.8636605087
2022-04-06,979539.5868290449,942912.5726381426
2022-04-07,981570.9837399486,945292.1941857454
2022-04-08,988088.2590525708,949051.947115962
2022-04-11,974233.2871338772,937762.0111523072
2022-04-12,970616.7807814413,935364.345182326
2022-04-13,976155.4264308704,944773.3903494372
2022-04-14,971923.6840414088,941674.8747434141
2022-04-18,968075.2887784428,940594.1312918579
2022-04-19,978133.291031464,954247.4595001481
2022-04-20,985303.168022591,961069.6391916312
2022-04-21,976727.8503157428,951010.1406450614
2022-04-22,953822.5777853588,924185.9856765724
2022-04-25,964259.1976860812,930693.0819926808
2022-04-26,947681.85032235,908572.5420480419
2022-04-27,942267.6429121174,910260.389556657
2022-04-28,953360.6236815876,927055.7962368303
2022-04-29,930742.089360249,901384.669181141
2022-05-02,920422.727304253,903688.589572139
2022-05-03,919089.5264604192,905527.8393939637
2022-05-04,934422.011252274,931010.0872591964
2022-05-05,914034.6337450718,901952.0541546214
2022-05-06,917383.1902539372,899257.0289164537
2022-05-09,904542.1831594624,881389.8476100483
2022-05-10,906460.0017893986,879067.6158673469
2022-05-11,902677.0159304814,870139.6307299716
2022-05-12,900414.2837716603,867302.1720039186
2022-05-13,905547.8876161427,880049.4353110127
2022-05-16,911518.7356703648,880780.8750477136
2022-05-17,918222.072248734,892566.2852246611
2022-05-18,917303.873756928,860735.817377633
2022-05-19,915113.4344478878,854259.4179339136
2022-05-20,914973.1529630704,854499.1204678736
2022-05-23,918430.441836079,871400.5514759857
2022-05-24,917215.4962642367,872722.919352643
2022-05-25,918428.5526926462,877961.6742874989
2022-05-26,922206.7767877236,892090.6705531576
2022-05-27,927762.6378437576,907828.5566330603
2022-05-31,926283.4356006468,901737.549748953
2022-06-01,924824.3078642916,896902.4987254125
2022-06-02,934323.03445853,908793.9866161636
2022-06-03,930474.367736442,899265.9977417779
2022-06-06,930838.3417685542,899705.5769543898
2022-06-07,934174.709971832,906931.4605571884
2022-06-08,929375.402846584,899572.1122918285
2022-06-09,917105.5778571734,882130.3095579384
2022-06-10,901647.172021274,858076.7742124917
2022-06-13,879950.3345653567,834131.2384719898
2022-06-14,880800.1752131572,829978.9926621128
2022-06-15,893394.5404606089,838280.1743582352
2022-06-16,878645.3338199266,818013.4585765727
2022-06-17,878455.5473584513,816966.8286927671
2022-06-21,891111.2707322115,834500.5085003644
2022-06-22,891960.2684617991,833212.5745066479
2022-06-23,901234.201689323,838521.531854011
2022-06-24,924434.12022763,861025.8093964461
2022-06-27,924382.0652113796,859319.6505361276
2022-06-28,911345.4154932208,845891.5039065107
2022-06-29,917210.9437782894,848141.611345564
2022-06-30,910268.6937118678,841202.142908622
2022-07-01,919198.5682652736,849998.905589767
2022-07-05,912839.0202502742,846460.8641569972
2022-07-06,915133.5105914609,848370.369777194
2022-07-07,921959.770644199,857851.5926338184
2022-07-08,921978.8205938678,856583.304638431
2022-07-11,920445.4732100292,852092.1119715134
2022-07-12,921420.1869122768,846830.1341853718
2022-07-13,913615.2888875576,841129.965219109
2022-07-14,915465.8843076169,837231.6759691536
2022-07-15,934020.6270061872,855219.6161022446
2022-07-18,920027.1283944622,849325.1225872926
2022-07-19,939366.937100532,869946.694213773
2022-07-20,931362.2300073772,871252.9395591929
2022-07-21,937021.591237682,875682.6317096023
2022-07-22,932223.7973335224,871921.2238175699
2022-07-25,936491.111629932,874401.744650069
2022-07-26,940040.7923555332,868156.0255291206
2022-07-27,942126.468787296,880074.8469827644
2022-07-28,947037.8511828496,889150.7109662574
2022-07-29,940423.576849323,897774.3966729929
2022-08-01,939483.1784318348,896497.0864664163
2022-08-02,937506.5542687796,885502.7480374022
2022-08-03,942964.326988796,896882.5324118934
2022-08-04,940997.3229344444,894540.6012849978
2022-08-05,944422.8571501388,896635.6761720199
2022-08-08,946224.143585266,897430.2713870449
2022-08-09,939577.3035132216,895841.4012721851
2022-08-10,955907.3852934072,910467.6334846823
2022-08-11,957131.035251728,911210.0173237132
2022-08-12,970747.8293340416,922809.8048479704
2022-08-15,974500.1485633658,926947.8500177509
2022-08-16,978325.3410260236,933496.1602216582
2022-08-17,972636.4057126768,928803.2223708129
2022-08-18,974186.1696806716,929314.8725012079
2022-08-19,965284.3145930748,921325.2507133685
2022-08-22,947388.1523092536,903746.2463063655
2022-08-23,939993.337794319,899536.3437622621
2022-08-24,942761.2450329552,901166.5345366508
2022-08-25,951804.851329235,909982.9966019897
2022-08-26,924274.6442780322,882420.3549626165
2022-08-29,920493.3884956416,877379.7683587316
2022-08-30,910774.339277811,868957.7210641939
2022-08-31,902653.6424028492,861292.3116346485
2022-09-01,905879.5704368342,865282.7448876362
2022-09-02,893772.269857191,856044.5344886034
2022-09-06,890732.1780498713,851312.037711775
2022-09-07,900657.8192104873,863228.8838884128
2022-09-08,907311.8182563856,868510.8279880736
2022-09-09,913285.5370070668,878820.8130133385
2022-09-12,918215.5579783669,885097.389164271
2022-09-13,885067.1118035469,850209.6729848838
2022-09-14,885722.8012358742,851032.9364094269
2022-09-15,888920.8308214798,846296.8627796419
2022-09-16,886818.0118464965,842486.5534352469
2022-09-19,888140.7629796695,847878.3656451281
2022-09-20,883002.7846337776,839310.6817108035
2022-09-21,866731.829456728,825030.2297460701
2022-09-22,870985.6494567433,822102.8158374507
2022-09-23,859236.6886291581,808811.3370222966
2022-09-26,850497.8334340935,799802.2053700841
2022-09-27,845591.7279761581,796363.0879452047
2022-09-28,859957.1014507046,811362.3805824933
2022-09-29,846662.4314971505,798840.0319247473
2022-09-30,834238.1902937852,785170.5277993546
2022-10-03,854276.2425078012,806091.1136558373
2022-10-04,873605.5031889535,828653.047932499
2022-10-05,875451.7394963991,827492.706156191
2022-10-06,863360.8171531202,818009.881723616
2022-10-07,848222.224898615,800785.6263897007
2022-10-10,849255.4703100511,798218.780613457
2022-10-11,863016.209387108,799211.2238442628
