date,ensemble
2022-07-08,921978.8205938678
2022-07-11,920445.4732100292
2022-07-12,921420.1869122768
2022-07-13,913615.2888875576
2022-07-14,915465.8843076169
2022-07-15,934020.6270061872
2022-07-18,920027.1283944622
2022-07-19,939366.937100532
2022-07-20,931362.2300073772
2022-07-21,937021.591237682
2022-07-22,932223.7973335224
2022-07-25,936491.111629932
2022-07-26,940040.7923555332
2022-07-27,942126.468787296
2022-07-28,947037.8511828496
2022-07-29,940423.576849323
2022-08-01,939483.1784318348
2022-08-02,937506.5542687796
2022-08-03,942964.326988796
2022-08-04,940997.3229344444
2022-08-05,944422.8571501388
2022-08-08,946224.143585266
2022-08-09,939577.3035132216
2022-08-10,955907.3852934072
2022-08-11,957131.035251728
2022-08-12,970747.8293340416
2022-08-15,974500.1485633658
2022-08-16,978325.3410260236
2022-08-17,972636.4057126768
2022-08-18,974186.1696806716
2022-08-19,965284.3145930748
2022-08-22,947388.1523092536
2022-08-23,939993.337794319
2022-08-24,942761.2450329552
2022-08-25,951804.851329235
2022-08-26,924274.6442780322
2022-08-29,920493.3884956416
2022-08-30,910774.339277811
2022-08-31,902653.6424028492
2022-09-01,905879.5704368342
2022-09-02,893772.269857191
2022-09-06,890732.1780498713
2022-09-07,900657.8192104873
2022-09-08,907311.8182563856
2022-09-09,913285.5370070668
2022-09-12,918215.5579783669
2022-09-13,885067.1118035469
2022-09-14,885722.8012358742
2022-09-15,888920.8308214798
2022-09-16,886818.0118464965
2022-09-19,888140.7629796695
2022-09-20,883002.7846337776
2022-09-21,866731.829456728
2022-09-22,870985.6494567433
2022-09-23,859236.6886291581
2022-09-26,850497.8334340935
2022-09-27,845591.7279761581
2022-09-28,859957.1014507046
2022-09-29,846662.4314971505
2022-09-30,834238.1902937852
2022-10-03,854276.2425078012
2022-10-04,873605.5031889535
2022-10-05,875451.7394963991
2022-10-06,863360.8171531202
2022-10-07,848222.224898615
2022-10-10,849255.4703100511
2022-10-11,863016.209387108
2022-10-12,863650.8717578507
2022-10-13,884403.3889732877
2022-10-14,880402.5295032942
2022-10-17,893033.095806799
2022-10-18,894770.0002402097
2022-10-19,891652.3064344922
2022-10-20,889451.3698690931
2022-10-21,907885.4609678783
2022-10-24,923626.0089739362
2022-10-25,923735.6954763927
2022-10-26,930314.8917540112
2022-10-27,934487.5544889966
2022-10-28,956668.4228743116
2022-10-31,952713.403400282
2022-11-01,949738.59057794
2022-11-02,938313.9485014478
2022-11-03,935772.9123915236
2022-11-04,941391.6303957502
2022-11-07,955937.845889906
2022-11-08,975077.5122469465
2022-11-09,963841.4137667218
2022-11-10,974662.4794233838
2022-11-11,953921.4572161236
2022-11-14,952331.306985716
2022-11-15,943844.9462069074
2022-11-16,953541.6846979656
2022-11-17,960218.6071661512
2022-11-18,969223.8995340863
2022-11-21,966936.64980493
2022-11-22,971513.1719149152
2022-11-23,971578.5417994062
2022-11-25,976604.5688932936
2022-11-28,970432.8803919356
2022-11-29,965593.5385626355
2022-11-30,987198.01743112
2022-12-01,983132.33582292
2022-12-02,984217.7501905956
2022-12-05,979488.147098402
2022-12-06,976575.6434248488
2022-12-07,980792.412355284
2022-12-08,986415.9751261274
2022-12-09,973149.2683123152
2022-12-12,981722.2083662548
2022-12-13,975188.3369272748
2022-12-14,974964.9846209089
2022-12-15,959001.2161215344
2022-12-16,951920.3846415082
2022-12-19,949085.5808657208
2022-12-20,948386.1444300214
2022-12-21,958210.0004480878
2022-12-22,954091.07419763
2022-12-23,957058.8302515546
2022-12-27,957376.6909616988
2022-12-28,950030.6557882824
2022-12-29,955406.7797850173
2022-12-30,951962.2480238476
2023-01-03,947734.227197508
