,account_value,date,daily_return,datadate
140,940040.7923555332,2022-07-26,0.0037904051426853,2022-07-26
141,942126.468787296,2022-07-27,0.0022187084312974,2022-07-27
142,947037.8511828496,2022-07-28,0.0052130818507576,2022-07-28
143,940423.576849323,2022-07-29,-0.0069841710394841,2022-07-29
144,939483.1784318348,2022-08-01,-0.0009999732467775,2022-08-01
145,937506.5542687796,2022-08-02,-0.0021039484350902,2022-08-02
146,942964.326988796,2022-08-03,0.0058215835347128,2022-08-03
147,940997.3229344444,2022-08-04,-0.0020859792868654,2022-08-04
148,944422.8571501388,2022-08-05,0.0036403230192112,2022-08-05
149,946224.143585266,2022-08-08,0.0019072880558639,2022-08-08
150,939577.3035132216,2022-08-09,-0.0070245936093528,2022-08-09
151,955907.3852934072,2022-08-10,0.0173802429232006,2022-08-10
152,957131.035251728,2022-08-11,0.0012800925875733,2022-08-11
153,970747.8293340416,2022-08-12,0.0142266769969823,2022-08-12
154,974500.1485633658,2022-08-15,0.0038653902856506,2022-08-15
155,978325.3410260236,2022-08-16,0.0039252866901016,2022-08-16
156,972636.4057126768,2022-08-17,-0.0058149728671861,2022-08-17
157,974186.1696806716,2022-08-18,0.0015933641378138,2022-08-18
158,965284.3145930748,2022-08-19,-0.009137735029142,2022-08-19
159,947388.1523092536,2022-08-22,-0.0185397835780284,2022-08-22
160,939993.337794319,2022-08-23,-0.0078054749754994,2022-08-23
161,942761.2450329552,2022-08-24,0.0029446030384969,2022-08-24
162,951804.851329235,2022-08-25,0.0095926793171943,2022-08-25
163,924274.6442780322,2022-08-26,-0.0289242138372752,2022-08-26
164,920493.3884956416,2022-08-29,-0.0040910521626872,2022-08-29
165,910774.339277811,2022-08-30,-0.0105585214834779,2022-08-30
166,902653.6424028492,2022-08-31,-0.0089162556790972,2022-08-31
167,905879.5704368342,2022-09-01,0.0035738270832184,2022-09-01
168,893772.269857191,2022-09-02,-0.0133652429911901,2022-09-02
169,890732.1780498713,2022-09-06,-0.0034014165686807,2022-09-06
170,900657.8192104873,2022-09-07,0.0111432385684624,2022-09-07
171,907311.8182563856,2022-09-08,0.0073879323578529,2022-09-08
172,913285.5370070668,2022-09-09,0.0065839754651944,2022-09-09
173,918215.5579783669,2022-09-12,0.0053981156730635,2022-09-12
174,885067.1118035469,2022-09-13,-0.0361009415346902,2022-09-13
175,885722.8012358742,2022-09-14,0.0007408358344613,2022-09-14
176,888920.8308214798,2022-09-15,0.0036106438505854,2022-09-15
177,886818.0118464965,2022-09-16,-0.0023655863402818,2022-09-16
178,888140.7629796695,2022-09-19,0.0014915699901254,2022-09-19
179,883002.7846337776,2022-09-20,-0.0057850946156938,2022-09-20
180,866731.829456728,2022-09-21,-0.0184268446942643,2022-09-21
181,870985.6494567433,2022-09-22,0.004907884832938,2022-09-22
182,859236.6886291581,2022-09-23,-0.0134892702708859,2022-09-23
183,850497.8334340935,2022-09-26,-0.010170486561749,2022-09-26
184,845591.7279761581,2022-09-27,-0.0057685102360881,2022-09-27
185,859957.1014507046,2022-09-28,0.0169885454165079,2022-09-28
186,846662.4314971505,2022-09-29,-0.0154596897114132,2022-09-29
187,834238.1902937852,2022-09-30,-0.0146743740375907,2022-09-30
188,854276.2425078012,2022-10-03,0.0240195815141948,2022-10-03
189,873605.5031889535,2022-10-04,,2022-10-04
190,875451.7394963991,2022-10-05,0.0021133524236125,2022-10-05
191,863360.8171531202,2022-10-06,-0.0138110666731146,2022-10-06
192,848222.224898615,2022-10-07,-0.0175344907409902,2022-10-07
193,849255.4703100511,2022-10-10,0.0012181305571892,2022-10-10
194,863016.209387108,2022-10-11,0.0162032975448871,2022-10-11
195,863650.8717578507,2022-10-12,0.0007354002900983,2022-10-12
196,884403.3889732877,2022-10-13,0.0240288268026613,2022-10-13
197,880402.5295032942,2022-10-14,-0.0045237948201873,2022-10-14
198,893033.095806799,2022-10-17,0.0143463539463373,2022-10-17
199,894770.0002402097,2022-10-18,0.001944949679431,2022-10-18
200,891652.3064344922,2022-10-19,-0.0034843521853443,2022-10-19
201,889451.3698690931,2022-10-20,-0.0024683798264373,2022-10-20
202,907885.4609678783,2022-10-21,0.0207252377400897,2022-10-21
203,923626.0089739362,2022-10-24,0.017337592331611,2022-10-24
204,923735.6954763927,2022-10-25,0.0001187564029065,2022-10-25
205,930314.8917540112,2022-10-26,0.0071223796047259,2022-10-26
206,934487.5544889966,2022-10-27,0.0044852154598087,2022-10-27
207,956668.4228743116,2022-10-28,0.023735862803913,2022-10-28
208,952713.403400282,2022-10-31,-0.0041341591082798,2022-10-31
209,949738.59057794,2022-11-01,-0.003122463493979,2022-11-01
210,938313.9485014478,2022-11-02,-0.0120292490900471,2022-11-02
211,935772.9123915236,2022-11-03,-0.0027080873240588,2022-11-03
212,941391.6303957502,2022-11-04,0.0060043605984139,2022-11-04
